"Date","Distance_Miles.sum","Distance_Miles.mean","Duration.sum","Duration.mean"
2016-07-19,1052.13,1.32844696969697,12208.3833333333,15.4146254208754
2016-07-20,1112.89,1.34569528415961,10879.4666666667,13.1553405884724
2016-07-21,948.64,1.40124076809453,9150.8,13.5166912850812
2016-07-22,889.43,1.29843795620438,8904.15,12.9987591240876
2016-07-23,852.46,1.37938511326861,9229.5,14.9344660194175
2016-07-24,667.47,1.37339506172839,7202.48333333333,14.8199245541838
2016-07-25,804.42,1.29536231884058,7773.26666666667,12.5173376274826
2016-07-26,973.54,1.31559459459459,9899.31666666667,13.377454954955
2016-07-27,900.52,1.27733333333333,8898.35,12.6217730496454
2016-07-28,902.03,1.33042772861357,8817.6,13.0053097345133
2016-07-29,840.88,1.23296187683284,8652.75,12.6873167155425
2016-07-30,851.94,1.36092651757188,9485.13333333334,15.1519701810437
2016-07-31,602.63,1.41462441314554,6516.96666666667,15.2980438184664
2016-08-01,764.8,1.25789473684211,7186.31666666667,11.8195997807018
2016-08-02,789.12,1.25058637083994,7470.68333333333,11.8394347596408
2016-08-03,1028.44,1.36579017264276,9564.33333333333,12.701637892873
2016-08-04,882.26,1.31680597014925,8633.16666666667,12.8853233830846
2016-08-05,916.98,1.30623931623932,8996.43333333333,12.8154320987654
2016-08-06,714.67,1.3458945386064,7432.4,13.9969868173258
2016-08-07,509.23,1.26674129353234,5414.4,13.4686567164179
2016-08-08,639.43,1.31030737704918,5961.03333333333,12.2152322404372
2016-08-09,702.2,1.28608058608059,6597.61666666667,12.083547008547
2016-08-10,884.08,1.35803379416283,8552.78333333333,13.1379160266257
2016-08-11,785.39,1.32443507588533,7421.95,12.5159359190557
2016-08-12,714.19,1.30564899451554,7042.35,12.8744972577697
2016-08-13,709.39,1.26001776198934,7653.71666666667,13.5945233866193
2016-08-14,589.38,1.25667377398721,6417.3,13.6829424307036
2016-08-15,757.88,1.25062706270627,7064.71666666667,11.6579482948295
2016-08-16,856.2,1.28558558558559,8219.28333333333,12.3412662662663
2016-08-17,931.3,1.32099290780142,8700.56666666667,12.3412293144208
2016-08-18,776.09,1.20324031007752,7468.06666666667,11.5783979328165
2016-08-19,692.46,1.25445652173913,6850.73333333333,12.4107487922705
2016-08-20,630.38,1.23603921568627,7043.36666666667,13.810522875817
2016-08-21,480.63,1.23873711340206,5160.68333333333,13.3007302405498
2016-08-22,765.47,1.3620462633452,7116.43333333333,12.6626927639383
2016-08-23,873.93,1.28708394698085,8583.33333333333,12.6411389297987
2016-08-24,839.9,1.26490963855422,7816.96666666667,11.7725401606426
2016-08-25,800.97,1.23797527047913,7573.41666666667,11.7054353426069
2016-08-26,816.79,1.28628346456693,8056.71666666667,12.6877427821522
2016-08-27,691.24,1.30916666666667,7403.08333333333,14.0209911616162
2016-08-28,638.2,1.31316872427984,6532.13333333333,13.4406035665295
2016-08-29,826.11,1.2728967642527,7734.25,11.9171802773498
2016-08-30,817.99,1.28010954616588,7650,11.9718309859155
2016-08-31,768.36,1.32934256055363,7173.86666666667,12.4115340253749
2016-09-01,693.57,1.17753820033956,6547.25,11.1158743633277
2016-09-02,622.14,1.30701680672269,5853.58333333333,12.297443977591
2016-09-03,459.36,1.20884210526316,5014.01666666667,13.1947807017544
2016-09-04,418.39,1.1919943019943,4240.68333333333,12.0817188983856
2016-09-05,524.75,1.29567901234568,5285.58333333333,13.0508230452675
2016-09-06,574.85,1.24157667386609,5030.78333333333,10.86562275018
2016-09-07,688.36,1.33403100775194,6108.55,11.8382751937984
2016-09-08,836.36,1.2557957957958,7793.95,11.7026276276276
2016-09-09,825.89,1.1883309352518,8064.86666666667,11.6041247002398
2016-09-10,664.28,1.297421875,6808.38333333333,13.2976236979167
2016-09-11,523.85,1.13880434782609,5376.11666666667,11.6872101449275
2016-09-12,741.82,1.27679862306368,6561.75,11.2938898450947
2016-09-13,732.78,1.25047781569966,6613.86666666667,11.2864618885097
2016-09-14,784.03,1.22123052959502,7278.58333333333,11.3373572170301
2016-09-15,746.53,1.29157439446367,6979.16666666667,12.0746828143022
2016-09-16,832.17,1.29419906687403,7854.85,12.2159409020218
2016-09-17,176.78,1.06493975903614,1651.35,9.94789156626506
2016-09-18,309.97,1.15660447761194,2951.43333333333,11.0128109452736
2016-09-19,610.18,1.28729957805907,5316.36666666667,11.2159634317862
2016-09-20,805.03,1.32624382207578,7245.43333333333,11.9364634816035
2016-09-21,665.36,1.21860805860806,6194.95,11.3460622710623
2016-09-22,772.37,1.33397236614853,6795.86666666667,11.737248128958
2016-09-23,597.29,1.18745526838966,5333.01666666667,10.6024188204109
2016-09-24,595.06,1.19012,6267.3,12.5346
2016-09-25,473.77,1.23699738903394,4946.7,12.9156657963447
2016-09-26,748.17,1.25321608040201,6778.2,11.3537688442211
2016-09-27,717.8,1.24402079722704,6525.6,11.3095320623917
2016-09-28,785.98,1.27181229773463,7266.65,11.7583333333333
2016-09-29,685.71,1.22012455516014,6316.73333333333,11.2397390272835
2016-09-30,716.53,1.19024916943522,6892.81666666667,11.449861572536
2016-10-01,407.11,1.19387096774194,3833.71666666667,11.2425708699902
2016-10-02,285.78,1.11198443579767,2970.13333333333,11.5569390402075
2016-10-03,606.1,1.22692307692308,5331.35,10.7922064777328
2016-10-04,411.44,1.19257971014493,3536.41666666667,10.2504830917874
2016-10-05,423.59,1.21372492836676,4018.13333333333,11.5132760267431
2016-10-06,503.92,1.13495495495495,4457.5,10.0394144144144
2016-10-07,516.49,1.2415625,4513.33333333333,10.849358974359
